ID,EDUCATION,MARITAL_STATUS,AGE,TOTAL_CHILDREN,INCOME,TOTAL_SPENDING,COUNTRY,DATE_ENROLLED,RECENCY,AMOUNT_WINES,AMOUNT_FRUITS,AMOUNT_MEAT,AMOUNT_FISH,AMOUNT_SWEET,AMOUNT_GOLD,DISC_PURCHASE,WEB_PURCHASE,CATALOG_PURCHASE,STORE_PURCHASE,WEBVISIT,CMP1,CMP2,CMP3,CMP4,CMP5,RESPONSE,COMPLAIN
1826,Bachelor's Degree,Divorced,54,0,84835.0,1190,Spain,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0
1,Bachelor's Degree,Single,63,0,57091.0,577,Canada,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,0,1,0,0,0,1,0
10476,Bachelor's Degree,Married,66,1,67267.0,251,United States,2014-05-13,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0
1386,Bachelor's Degree,Together,57,2,32474.0,11,Australia,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0
5371,Bachelor's Degree,Single,35,1,21474.0,91,Spain,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,0,0,1,0,0,1,0
7348,Doctorate Degree,Single,66,0,71691.0,1192,Spain,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0
4073,Master's Degree,Married,70,0,63564.0,1215,Germany,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,0,0,1,0,0,1,0
1991,Bachelor's Degree,Together,57,1,44931.0,96,Spain,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0
4047,Doctorate Degree,Married,70,1,65324.0,544,United States,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0
9477,Doctorate Degree,Married,70,1,65324.0,544,India,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0
2079,Master's Degree,Married,77,0,81044.0,1208,United States,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0
5642,Master's Degree,Together,45,1,62499.0,222,Spain,2013-12-09,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0
10530,Doctorate Degree,Widowed,65,0,67786.0,1156,India,2013-12-07,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0
2964,Bachelor's Degree,Married,43,0,26872.0,72,Canada,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0
10311,Bachelor's Degree,Married,55,1,4428.0,359,Spain,2013-10-05,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0
837,Bachelor's Degree,Married,47,2,54809.0,174,Spain,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0
10521,Bachelor's Degree,Married,47,2,54809.0,174,Spain,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0
10175,Doctorate Degree,Divorced,66,1,32173.0,22,Spain,2013-08-01,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0
1473,Master's Degree,Single,64,1,47823.0,72,Canada,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0
2795,Master's Degree,Single,66,3,30523.0,13,Canada,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0
2285,Master's Degree,Together,70,1,36634.0,335,South Africa,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0
115,Master's Degree,Single,58,1,43456.0,393,India,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0
10470,Master's Degree,Married,45,1,40662.0,92,Germany,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0
4065,Doctorate Degree,Married,48,1,49544.0,404,Spain,2013-02-12,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0
10968,Bachelor's Degree,Single,55,1,57731.0,704,India,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0
5985,Master's Degree,Single,59,1,33168.0,122,Spain,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0
5430,Bachelor's Degree,Together,68,2,54450.0,684,Spain,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0
8432,Bachelor's Degree,Together,68,2,54450.0,684,Spain,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0
453,Doctorate Degree,Widowed,68,2,35340.0,45,Spain,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0
9687,Bachelor's Degree,Single,49,0,73170.0,726,Canada,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0
8890,Doctorate Degree,Divorced,53,2,65808.0,272,Spain,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0
