region,founded_year,uk_rank,world_rank,minimum_ielts_score,tuition_fees,international_students,student_satisfaction,student_enrollment,academic_staff,type,location,cost_of_living
Wales,1920,31,422,4.5,13800,15.4,81.5,"20,000-24,999","1,000-1,499",Public,Suburban,7500
London,1907,4,8,6.5,23500,41.4,77.9,"15,000-19,999","4,000-4,499",Public,Urban,10700
Wales,2011,112,1821,4.5,10800,18.0,80.0,"10,000-14,999",700-799,Public,Urban,7500
South West England,2001,95,2073,4.5,11500,3.7,78.0,"8,000-8,999",600-699,Public,Suburban,8217
East of England,1858,120,730,4.0,10500,10.4,79.0,"20,000-24,999",900-999,Public,Urban,9415
South West England,1966,11,261,5.5,14300,21.7,81.8,"15,000-19,999","1,000-1,499",Public,Suburban,11000
Scotland,1413,3,86,6.5,17040,40.4,87.9,"10,000-14,999","1,000-1,499",Public,Suburban,12000
Wales,2012,17,2840,4.5,8500,5.1,82.4,"5,000-5,999",100-199,Public,Rural,6000
West Midlands,1968,115,5253,4.5,10500,15.59,81.2,"2,000-2,999",100-199,Public,Suburban,10000
London,1966,73,301,4.5,13000,35.3,77.1,"20,000-24,999","2,000-2,499",Public,Urban,12000
South East England,1992,122,761,4.5,12660,13.7,75.8,"20,000-24,999","1,500-1,999",Public,,8990
London,1850,85,2386,4.5,11000,4.2,79.0,"5,000-5,999",300-399,Private,Suburban,8000
Scotland,1967,47,659,5.5,11275,11.8,75.6,"10,000-14,999","1,000-1,499",Public,Suburban,7000
South East England,1849,19,129,5.5,13200,27.4,80.6,"10,000-14,999","1,000-1,499",Public,Suburban,7500
South East England,1965,54,416,5.5,12890,20.4,76.6,"15,000-19,999","1,500-1,999",Public,Suburban,8990
South East England,2005,118,1578,4.5,11000,5.7,75.7,"10,000-14,999",700-799,Public,Urban,8990
North West England,1964,8,130,5.5,14940,29.6,79.3,"10,000-14,999","2,000-2,499",Public,Rural,8500
North West England,1881,29,157,5.5,13850,27.0,80.0,"25,000-29,999","3,000-3,499",Public,Urban,7000
South East England,2007,113,2727,4.5,9500,7.6,79.7,"10,000-14,999",400-499,Public,Suburban,8990
London,1895,6,23,6.5,17040,46.8,68.5,"10,000-14,999","1,500-1,999",Public,Urban,12000
West Midlands,1965,10,80,5.5,15820,28.3,79.2,"25,000-29,999","2,500-2,999",Public,Suburban,9580
South West England,2013,89,4336,5.5,10000,7.2,82.3,"1,000-1,999",50-99,Public,Rural,9400
East of England,2006,128,1281,4.5,9750,11.7,77.4,"10,000-14,999",500-599,Public,Urban,9415
London,1973,107,537,4.0,11200,20.7,74.0,"15,000-19,999","1,000-1,499",Public,,9000
Scotland,1583,25,24,5.5,15850,28.0,72.6,"30,000-34,999","over-5,000",Public,Urban,8500
London,2004,69,1273,4.5,12000,9.5,77.2,"10,000-14,999",500-599,Public,Urban,9500
East of England,1992,51,877,4.5,12800,9.4,79.3,"15,000-19,999","1,000-1,499",Public,Urban,9415
East Midlands,1948,21,143,5.5,14140,18.2,78.0,"30,000-34,999","3,000-3,499",Public,Suburban,9840
South West England,1923,102,3916,6.0,9250,15.59,82.7,"2,000-2,999",50-99,Private,,8217
Wales,2008,130,2397,4.5,10250,23.0,74.3,"5,000-5,999",200-299,Public,Urban,7771
South West England,1992,94,782,4.5,13000,8.7,75.4,"15,000-19,999",900-999,Public,Urban,8217
Northern Ireland,1849,35,200,5.5,13280,8.7,77.4,"20,000-24,999","1,500-1,999",Public,Urban,6000
