harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik
1650000,  Balikpapan Selatan,180.0,141,SHM,Unfurnished,4,3,2200
2100000,  Balikpapan Selatan,50.0,776,SHM,Unfurnished,3,1,900
1950000,  Balikpapan Utara,139.7,206,SHM,Unfurnished,5,2,2200
1180000,  Balikpapan Utara,47.0,78,SHM,Semi-furnished,2,2,1300
2500000,  Balikpapan Baru,160.0,169,HGB,Unfurnished,4,3,4400
1350000,  Balikpapan Selatan,160.0,120,SHM,Unfurnished,8,4,1300
950000,  Balikpapan Utara,130.0,92,SHM,Unfurnished,2,2,2200
900000,  Balikpapan Selatan,68.0,120,SHM,Semi-furnished,3,1,2200
1350000,  Damai,96.0,199,SHM,Unfurnished,3,1,1300
1000000,  Karang Rejo,238.0,210,SHM,Semi-furnished,3,3,2200
500000,  Sepinggan,45.0,90,SHM,Semi-furnished,2,1,1300
700000,  Balikpapan Selatan,120.0,120,SHM,Unfurnished,3,1,3500
850000,  Balikpapan Utara,80.0,120,SHM,Semi-furnished,1,1,4400
5520000,  Balikpapan Selatan,311.0,248,SHM,Unfurnished,5,5,3500
4650000,  Gunung Bahagia,250.0,200,SHM,Furnished,5,5,4400
1370000,  Balikpapan Selatan,105.0,153,HGB,Unfurnished,3,3,1300
5000000,  Balikpapan Tengah,400.0,505,SHM,Unfurnished,4,4,4400
1900000,  Balikpapan Tengah,220.0,165,SHM,Unfurnished,5,2,2200
2300000,  Balikpapan Tengah,160.0,169,SHM,Unfurnished,4,3,4400
4500000,  Balikpapan Tengah,200.0,674,SHM,Unfurnished,5,5,4400
12000000,  Balikpapan Tengah,250.0,576,SHM,Furnished,5,4,13200
1700000,  Balikpapan Tengah,300.0,235,SHM,Furnished,5,3,2200
1450000,  Balikpapan Selatan,56.0,141,SHM,Unfurnished,3,2,1300
950000,  Balikpapan Selatan,96.0,100,SHM,Furnished,1,2,900
975000,  Balikpapan Utara,70.0,120,SHM,Semi-furnished,3,1,2200
945000,  Balikpapan Selatan,119.0,170,SHM,Furnished,3,2,2200
750000,  Balikpapan Utara,95.0,111,SHM,Unfurnished,2,1,1300
2000000,  Balikpapan Selatan,144.0,122,SHM,Unfurnished,3,4,4400
830000,  Balikpapan Tengah,90.0,120,SHM,Unfurnished,2,1,1300
2000000,  Balikpapan Selatan,104.0,150,SHM,Unfurnished,3,2,3500
2850000,  Balikpapan Selatan,250.0,600,SHM,Unfurnished,2,3,5500
5650000,  Balikpapan Utara,380.0,600,SHM,Unfurnished,3,4,10000
2150000,  Balikpapan Selatan,350.0,180,SHM,Unfurnished,4,4,2200
450000,  Balikpapan Selatan,60.0,60,SHM,Unfurnished,2,1,1300
1700000,  Balikpapan Tengah,80.0,180,SHM,Unfurnished,2,2,3500
765000,  Balikpapan Selatan,116.0,144,SHM,Semi-furnished,2,2,1300
3300000,  Balikpapan Selatan,300.0,315,SHM,Unfurnished,4,4,5500
900000,  Balikpapan Utara,60.0,160,SHM,Unfurnished,2,1,1300
2800000,  Balikpapan Selatan,130.0,240,SHM,Unfurnished,3,3,2200
2650000,  Balikpapan Utara,500.0,311,SHM,Unfurnished,6,5,2200
430000,  Balikpapan Utara,36.0,120,SHM,Unfurnished,2,1,1300
5000000,  Balikpapan Baru,367.0,450,SHM,Unfurnished,5,4,13200
1610000,  Balikpapan Selatan,115.0,152,SHM,Unfurnished,4,3,2200
1300000,  Balikpapan Utara,110.0,150,HGB,Unfurnished,3,2,4400
1280000,  Balikpapan Utara,130.0,120,SHM,Unfurnished,4,2,1300
1555000,  Balikpapan Selatan,150.0,200,SHM,Semi-furnished,5,3,2200
2500000,  Balikpapan Baru,70.0,300,SHM,Semi-furnished,2,2,1300
4030000,  Balikpapan Selatan,300.0,198,SHM,Furnished,4,3,5500
1800000,  Balikpapan Utara,100.0,208,SHM,Furnished,3,3,5500
1560000,  Balikpapan Selatan,105.0,153,SHM,Unfurnished,4,4,2200
1000000,  Balikpapan Selatan,54.0,180,HGB,Unfurnished,2,2,1300
550000,  Balikpapan Selatan,112.0,112,SHM,Unfurnished,3,2,1300
2510000,  Balikpapan Utara,123.0,135,HGB,Unfurnished,4,3,3500
4080000,  Balikpapan Selatan,160.0,400,SHM,Unfurnished,3,2,2200
1540000,  Balikpapan Utara,200.0,211,SHM,Unfurnished,4,2,2200
3550000,  Balikpapan Selatan,290.0,300,SHM,Unfurnished,6,4,2200
2500000,  Balikpapan Selatan,172.0,510,SHM,Unfurnished,4,3,4400
6700000,  Balikpapan Selatan,300.0,417,SHM,Unfurnished,4,4,5500
2200000,  Balikpapan Selatan,300.0,250,SHM,Unfurnished,3,3,4400
2300000,  Balikpapan Timur,142.0,162,HGB,Unfurnished,4,3,2200
1155000,  Balikpapan Selatan,120.0,150,SHM,Semi-furnished,3,2,1300
850000,  Balikpapan Selatan,64.0,124,HGB,Unfurnished,2,1,1300
700000,  Balikpapan Timur,48.0,107,SHM,Unfurnished,2,1,1300
1800000,  Balikpapan Selatan,143.0,135,HGB,Unfurnished,3,2,2200
675000,  Balikpapan Selatan,80.0,150,SHM,Unfurnished,3,1,1300
425000,  Sepinggan,50.0,74,SHM,Unfurnished,2,1,1300
1200000,  Balikpapan Utara,47.0,78,HGB,Unfurnished,2,2,1300
2250000,  Sepinggan,200.0,403,SHM,Unfurnished,3,2,2200
1300000,  Balikpapan Selatan,82.0,128,SHM,Unfurnished,2,2,2200
1100000,  Balikpapan Selatan,120.0,120,SHM,Unfurnished,2,2,2200
1050000,  Balikpapan Utara,165.0,170,SHM,Unfurnished,4,2,2200
780000,  Balikpapan Selatan,105.0,120,SHM,Unfurnished,3,1,3500
2900000,  Balikpapan Utara,400.0,1000,SHM,Unfurnished,7,3,2200
1300000,  Balikpapan Selatan,216.0,216,SHM,Unfurnished,4,2,1300
870000,  Balikpapan Selatan,70.0,132,SHM,Semi-furnished,3,2,2200
1100000,  Balikpapan Selatan,100.0,134,SHM,Unfurnished,3,2,3500
695000,  Balikpapan Selatan,45.0,80,SHM,Unfurnished,2,1,1300
2700000,  Balikpapan Selatan,160.0,199,SHM,Furnished,4,4,3500
695000,  Balikpapan Selatan,50.0,84,SHM,Semi-furnished,2,1,1300
1400000,  Balikpapan Selatan,145.0,120,SHM,Unfurnished,4,2,3500
1280000,  Balikpapan Utara,100.0,200,HGB,Unfurnished,3,2,3500
2150000,  Balikpapan Selatan,208.0,144,SHM,Unfurnished,5,2,2200
2550000,  Balikpapan Utara,160.0,169,HGB,Unfurnished,4,3,4400
1220000,  Balikpapan Tengah,210.0,210,SHM,Unfurnished,3,4,2200
450000,  Batu Ampar,120.0,150,SHM,Unfurnished,2,1,1300
6500000,  Sepinggan,415.0,125,HGB,Unfurnished,4,4,3500
925000,  Balikpapan Selatan,100.0,108,SHM,Unfurnished,3,1,2200
1070000,  Balikpapan Selatan,145.0,120,SHM,Unfurnished,4,1,3500
2800000,  Balikpapan Selatan,226.0,280,SHM,Furnished,5,5,4400
2500000,  Balikpapan Utara,244.0,285,SHM,Semi-furnished,5,4,3500
3200000,  Balikpapan Utara,235.0,315,SHM,Furnished,5,3,5500
1150000,  Balikpapan Utara,47.0,78,SHM,Semi-furnished,2,2,1300
440000,  Balikpapan Utara,72.0,84,SHM,Unfurnished,2,1,900
2750000,  Balikpapan Selatan,150.0,221,SHM,Furnished,4,2,5500
2980000,  Balikpapan Baru,200.0,220,HGB,Unfurnished,4,2,2200
2600000,  Balikpapan Baru,250.0,165,SHM,Unfurnished,4,3,7600
1800000,  Balikpapan Baru,280.0,320,SHM,Unfurnished,6,3,4400
3500000,  Balikpapan Selatan,260.0,230,SHM,Semi-furnished,5,3,3500
12000000,  Balikpapan Selatan,550.0,700,SHM,Furnished,3,2,5500
600000,  Balikpapan Selatan,60.0,90,SHM,Unfurnished,3,1,900
1700000,  Balikpapan Selatan,260.0,150,SHM,Unfurnished,4,2,2200
850000,  Balikpapan Selatan,145.0,150,SHM,Unfurnished,3,1,2200
6850000,  Balikpapan Tengah,500.0,673,SHM,Unfurnished,6,5,16500
3850000,  Balikpapan Selatan,300.0,214,SHM,Furnished,4,3,2200
1280000,  Balikpapan Utara,150.0,180,SHM,Unfurnished,4,2,2200
1500000,  Balikpapan Selatan,105.0,153,HGB,Unfurnished,4,4,2200
3300000,  Balikpapan Tengah,371.0,480,SHM,Unfurnished,5,3,7700
1310000,  Balikpapan Selatan,196.0,98,SHM,Unfurnished,5,3,2200
2500000,  Balikpapan Selatan,102.0,278,SHM,Unfurnished,7,4,2200
6400000,  Balikpapan Selatan,500.0,550,SHM,Furnished,6,7,7600
2500000,  Balikpapan Barat,448.0,800,SHM,Semi-furnished,2,3,3500
470000,  Balikpapan Selatan,70.0,60,SHM,Unfurnished,2,1,1300
1750000,  Balikpapan Utara,243.0,250,SHM,Unfurnished,4,1,2200
1250000,  Balikpapan Utara,60.0,72,SHM,Unfurnished,1,1,2200
1850000,  Gunung Bahagia,145.0,168,SHM,Furnished,2,2,2200
400000,  Muara Rapak,80.0,100,SHM,Unfurnished,3,1,2200
2300000,  Balikpapan Utara,200.0,126,SHM,Unfurnished,4,3,3500
2500000,  Balikpapan Selatan,224.0,500,SHM,Unfurnished,3,2,2200
