harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
2500000,Balikpapan Barat,448.0,800,SHM,Semi-furnished,2,3,3500,1
1400000,Balikpapan Barat,230.0,350,SHM,Unfurnished,7,3,3500,1
1200000,Kariangau,276.0,318,SHM,Unfurnished,3,2,2200,1
555000,Kariangau,148.0,171,HGB,Unfurnished,2,2,2200,1
2200000,Balikpapan Barat,180.0,119,SHM,Unfurnished,4,2,2200,2
3000000,Balikpapan Barat,550.0,600,SHM,Unfurnished,7,7,1300,1
485000,Balikpapan Barat,50.0,120,SHM,Unfurnished,2,1,2200,1
1400000,Balikpapan Barat,230.0,350,SHM,Unfurnished,7,3,3500,1
850000,Balikpapan Barat,77.0,165,SHM,Unfurnished,2,2,1300,1
700000,Balikpapan Barat,70.0,208,SHM,Unfurnished,3,1,1300,1
700000,Balikpapan Barat,60.0,150,SHM,Unfurnished,2,1,900,1
4500000,Balikpapan Barat,444.0,480,SHM,Unfurnished,6,5,5500,1
450000,Balikpapan Barat,100.0,150,SHM,Unfurnished,2,1,2200,1
650000,Balikpapan Barat,110.0,156,SHM,Unfurnished,2,1,1300,1
1750000,Balikpapan Barat,307.0,307,SHM,Unfurnished,2,2,2200,1
1900000,Balikpapan Barat,500.0,900,SHM,Unfurnished,3,2,5500,1
