harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
1950000,Balikpapan Utara,139.7,206,SHM,Unfurnished,5,2,2200,1
1180000,Balikpapan Utara,47.0,78,SHM,Semi-furnished,2,2,1300,1
950000,Balikpapan Utara,130.0,92,SHM,Unfurnished,2,2,2200,2
850000,Balikpapan Utara,80.0,120,SHM,Semi-furnished,1,1,4400,1
975000,Balikpapan Utara,70.0,120,SHM,Semi-furnished,3,1,2200,1
750000,Balikpapan Utara,95.0,111,SHM,Unfurnished,2,1,1300,1
5650000,Balikpapan Utara,380.0,600,SHM,Unfurnished,3,4,10000,1
900000,Balikpapan Utara,60.0,160,SHM,Unfurnished,2,1,1300,1
2650000,Balikpapan Utara,500.0,311,SHM,Unfurnished,6,5,2200,2
430000,Balikpapan Utara,36.0,120,SHM,Unfurnished,2,1,1300,1
1300000,Balikpapan Utara,110.0,150,HGB,Unfurnished,3,2,4400,1
1280000,Balikpapan Utara,130.0,120,SHM,Unfurnished,4,2,1300,2
1800000,Balikpapan Utara,100.0,208,SHM,Furnished,3,3,5500,1
2510000,Balikpapan Utara,123.0,135,HGB,Unfurnished,4,3,3500,1
1540000,Balikpapan Utara,200.0,211,SHM,Unfurnished,4,2,2200,1
1200000,Balikpapan Utara,47.0,78,HGB,Unfurnished,2,2,1300,1
1050000,Balikpapan Utara,165.0,170,SHM,Unfurnished,4,2,2200,1
2900000,Balikpapan Utara,400.0,1000,SHM,Unfurnished,7,3,2200,1
1280000,Balikpapan Utara,100.0,200,HGB,Unfurnished,3,2,3500,1
2550000,Balikpapan Utara,160.0,169,HGB,Unfurnished,4,3,4400,1
450000,Batu Ampar,120.0,150,SHM,Unfurnished,2,1,1300,1
2500000,Balikpapan Utara,244.0,285,SHM,Semi-furnished,5,4,3500,1
3200000,Balikpapan Utara,235.0,315,SHM,Furnished,5,3,5500,1
1150000,Balikpapan Utara,47.0,78,SHM,Semi-furnished,2,2,1300,1
440000,Balikpapan Utara,72.0,84,SHM,Unfurnished,2,1,900,1
1280000,Balikpapan Utara,150.0,180,SHM,Unfurnished,4,2,2200,1
1750000,Balikpapan Utara,243.0,250,SHM,Unfurnished,4,1,2200,1
1250000,Balikpapan Utara,60.0,72,SHM,Unfurnished,1,1,2200,1
400000,Muara Rapak,80.0,100,SHM,Unfurnished,3,1,2200,1
2300000,Balikpapan Utara,200.0,126,SHM,Unfurnished,4,3,3500,2
2950000,Balikpapan Utara,384.0,240,SHM,Unfurnished,6,5,2200,2
1000000,Balikpapan Utara,105.0,165,SHM,Unfurnished,3,2,2200,1
15000000,Balikpapan Utara,450.0,1700,SHM,Unfurnished,3,3,11000,1
580000,Balikpapan Utara,130.0,130,SHM,Unfurnished,4,1,2200,1
2100000,Balikpapan Utara,225.0,165,SHM,Unfurnished,3,2,3500,2
1250000,Balikpapan Utara,144.0,600,HGB,Unfurnished,3,2,2200,1
1600000,Batu Ampar,100.0,179,SHM,Semi-furnished,3,2,3500,1
3590000,Balikpapan Utara,230.0,298,SHM,Unfurnished,5,4,3500,1
1500000,Balikpapan Utara,274.0,137,SHM,Unfurnished,5,3,3500,2
800000,Balikpapan Utara,70.0,72,SHM,Unfurnished,3,1,4400,1
750000,Balikpapan Utara,110.0,150,SHM,Unfurnished,3,2,1300,1
1240000,Balikpapan Utara,145.0,120,SHM,Semi-furnished,4,2,3500,2
700000,Balikpapan Utara,200.0,243,SHM,Unfurnished,4,3,2200,1
1700000,Balikpapan Utara,88.0,98,HGB,Unfurnished,3,3,1300,1
726000,Balikpapan Utara,90.0,157,SHM,Unfurnished,2,2,4400,1
675000,Balikpapan Utara,110.0,110,SHM,Semi-furnished,2,1,1300,1
1150000,Balikpapan Utara,240.0,200,SHM,Furnished,6,4,1300,2
2200000,Balikpapan Utara,200.0,204,SHM,Unfurnished,5,3,2200,1
1500000,Balikpapan Utara,47.0,72,SHM,Furnished,2,1,2200,1
1600000,Balikpapan Utara,140.0,200,SHM,Semi-furnished,3,2,3500,1
2300000,Balikpapan Utara,243.0,250,SHM,Semi-furnished,6,2,1300,1
1500000,Balikpapan Utara,105.0,154,SHM,Unfurnished,4,4,2200,1
