Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
2600000000," Samarinda, Samarinda Utara",Rumah,Secondary,172.0,210.0,SHM,Semi-furnished
875000000," Samarinda, Samarinda Utara",Rumah,Secondary,57.0,200.0,SHM,
600000000," Samarinda, Samarinda Ilir",Rumah,Secondary,115.0,235.0,SHM,
1600000000," Samarinda, Samarinda Ulu",Rumah,Secondary,220.0,135.0,SHM,
2200000000," Samarinda, Samarinda Kota",Rumah,Secondary,140.0,184.0,SHM,Non-furnished
445000000," Samarinda, Samarinda Seberang",Rumah,Secondary,36.0,91.0,HGB,
459000000," Samarinda, Samarinda Seberang",Rumah,Primary,40.0,91.0,HGB,
2500000000," Samarinda, Samarinda Kota",Rumah,Secondary,180.0,285.0,HGB,Non-furnished
3080000000," Samarinda, Samarinda Seberang",Rumah,Secondary,225.0,276.0,SHM,Semi-furnished
1950000000," Samarinda, Sungai Kunjang",Rumah,Secondary,186.0,292.0,SHM,Semi-furnished
20000000000," Samarinda, Samarinda Ulu",Rumah,Secondary,270.0,1146.0,SHM,
2360000000," Samarinda, Samarinda Ulu",Rumah,Secondary,198.0,198.0,SHM,Fully-furnished
1500000000," Samarinda, Samarinda Ulu",Rumah,Secondary,150.0,150.0,SHM,Non-furnished
2500000000," Samarinda, Samarinda Ulu",Rumah,Primary,149.0,144.0,SHM,Non-furnished
3400000000," Samarinda, Samarinda Ulu",Rumah,Secondary,500.0,375.0,SHM,
960000000," Samarinda, Samarinda Ilir",Rumah,Secondary,120.0,150.0,SHM,
2450000000," Samarinda, Samarinda Kota",Rumah,Secondary,140.0,105.0,SHM,Non-furnished
980000000," Samarinda, Samarinda Ulu",Rumah,Secondary,268.0,140.0,SHM,Semi-furnished
1200000000," Samarinda, Samarinda Ulu",Rumah,Primary,82.0,72.0,HGB,Non-furnished
800000000," Samarinda, Samarinda Utara",Rumah,Secondary,40.0,120.0,HGB,
2400000000," Samarinda, Samarinda Utara",Rumah,Secondary,300.0,212.0,SHM,
3500000000," Samarinda, Sungai Kunjang",Rumah,Secondary,680.0,544.0,SHM,
670000000," Samarinda, Sungai Pinang",Rumah,Secondary,60.0,84.0,SHM,
1100000000," Samarinda, Samarinda Ilir",Rumah,Secondary,100.0,120.0,SHM,
1400000000," Samarinda, Samarinda Ulu",Rumah,Secondary,1930.0,17949.0,SHM,
2750000000," Samarinda, Samarinda Ulu",Rumah,Primary,140.0,184.0,SHM,
5000000000," Samarinda, Samarinda Ulu",Rumah,Secondary,360.0,314.0,HGB,
1600000000," Samarinda, Samarinda Utara",Rumah,,480.0,160.0,SHM,
440000000," Samarinda, Sungai Pinang",Rumah,Secondary,40.0,60.0,SHM,Semi-furnished
2800000000," Samarinda, Samarinda Ulu",Rumah,Secondary,260.0,256.0,SHM,Non-furnished
930000000," Samarinda, Samarinda Ulu",Rumah,Primary,38.0,97.0,SHM,
890000000," Samarinda, Samarinda Kota",Rumah,Secondary,320.0,160.0,SHM,
8000000000," Samarinda, Sungai Kunjang",Rumah,Secondary,160.0,558.0,SHM,Non-furnished
1620000000," Samarinda, Samarinda Utara",Rumah,Primary,84.0,105.0,SHM,Non-furnished
2500000000," Samarinda, Samarinda Utara",Rumah,Secondary,400.0,200.0,SHM,
4000000000," Samarinda, Samarinda Ulu",Rumah,Secondary,120.0,540.0,SHM,
3900000000," Samarinda, Samarinda Utara",Rumah,Secondary,400.0,300.0,SHM,
2080000000," Samarinda, Samarinda Kota",Rumah,Primary,93.0,140.0,HGB,Fully-furnished
