harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
2800000,Sungai Pinang,218.0,180.0,SHM,Semi-furnished,3,3,4400,2
900000,Sungai Pinang,250.0,300.0,SHM,Non-furnished,4,2,1300,1
1850000,Samarinda Seberang,90.0,200.0,SHM,Fully-furnished,3,2,1300,1
900000,Samarinda Kota,90.0,200.0,SHM,Fully-furnished,4,2,1300,1
1600000,Samarinda Ulu,220.0,135.0,SHM,Non-furnished,4,3,1300,2
2200000,Samarinda Kota,140.0,184.0,SHM,Non-furnished,5,2,2200,1
950000,Sambutan,128.0,225.0,HGB,Non-furnished,3,2,1300,1
875000,Samarinda Utara,57.0,200.0,SHM,Non-furnished,3,1,450,1
600000,Samarinda Ilir,115.0,235.0,SHM,Non-furnished,2,1,1300,1
900000,Samarinda Utara,65.0,75.0,SHM,Non-furnished,2,2,2200,1
1300000,Sungai Kunjang,150.0,200.0,SHM,Non-furnished,3,3,1300,1
950000,Samarinda Kunjang,200.0,111.0,SHM,Non-furnished,3,2,2200,2
1400000,Samarinda Seberang,250.0,200.0,SHM,Non-furnished,6,3,1300,2
595000,Samarinda Utara,50.0,100.0,SHM,Non-furnished,2,1,1300,1
1200000,Loa Janan Ilir,200.0,108.0,SHM,Fully-furnished,3,2,2200,2
675000,Samarinda Utara,36.0,259.0,SHM,Non-furnished,2,1,1300,1
3380000,Samarinda Kunjang,240.0,240.0,HGB,Semi-furnished,6,5,2200,1
695000,Sungai Pinang,112.0,112.0,SHM,Non-furnished,3,2,1300,1
4900000,Sungai Pinang,320.0,200.0,SHM,Non-furnished,4,4,3500,2
590000,Samarinda Utara,140.0,259.0,SHM,Semi-furnished,2,1,1300,1
950000,Samarinda Kota,70.0,94.0,SHM,Non-furnished,2,1,2200,1
1250000,Samarinda Seberang,200.0,108.0,SHM,Non-furnished,3,2,2200,2
750000,Samarinda Utara,80.0,105.0,SHM,Non-furnished,3,2,2200,1
450000,Samarinda Utara,42.0,100.0,SHM,Non-furnished,2,1,1300,1
3900000,Samarinda Ulu,450.0,345.0,SHM,Non-furnished,4,4,3500,2
4099999,Samarinda Ulu,250.0,299.0,HGB,Non-furnished,6,4,3500,1
445000,Samarinda Seberang,36.0,91.0,HGB,Non-furnished,2,1,1300,1
459000,Samarinda Seberang,40.0,91.0,HGB,Non-furnished,2,1,1300,1
350000,Samarinda Kunjang,45.0,103.0,SHM,Non-furnished,2,1,1300,1
2500000,Samarinda Kota,180.0,285.0,HGB,Non-furnished,4,5,3500,1
600000,Sambutan,110.0,110.0,SHM,Non-furnished,2,1,900,1
1950000,Sungai Kunjang,186.0,292.0,SHM,Semi-furnished,4,3,1300,1
8180000,Loa Janan Ilir,800.0,1075.0,SHM,Semi-furnished,6,6,2200,1
20000000,Samarinda Ulu,270.0,1146.0,SHM,Non-furnished,5,3,3500,1
2360000,Samarinda Ulu,198.0,198.0,SHM,Fully-furnished,5,4,4400,1
1500000,Samarinda Ulu,150.0,150.0,SHM,Non-furnished,3,2,1300,1
2500000,Samarinda Ulu,149.0,144.0,SHM,Non-furnished,5,6,2200,2
3400000,Samarinda Ulu,500.0,375.0,SHM,Non-furnished,6,4,5500,2
770000,Palaran,216.0,216.0,SHM,Non-furnished,2,2,1300,1
2450000,Samarinda Kota,140.0,105.0,SHM,Non-furnished,3,2,2200,2
1200000,Samarinda Ulu,82.0,72.0,HGB,Non-furnished,3,2,2200,2
1500000,Loa Janan Ilir,300.0,162.0,SHM,Fully-furnished,3,3,2200,2
800000,Samarinda Utara,40.0,120.0,HGB,Non-furnished,3,2,2200,1
420000,Sungai Kunjang,36.0,90.0,SHM,Non-furnished,2,1,1300,1
2400000,Samarinda Utara,300.0,212.0,SHM,Non-furnished,5,4,3500,2
3500000,Sungai Kunjang,680.0,544.0,SHM,Non-furnished,8,5,3500,2
670000,Sungai Pinang,60.0,84.0,SHM,Non-furnished,2,2,1300,1
2500000,Sungai Kunjang,190.0,204.0,SHM,Non-furnished,4,3,3500,1
