harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,8 Miliar","Kalimantan Timur, Samarinda, Sungai Pinang",218 m2,180 m2,SHM,Semi-furnished,3+1,3+1,N/A,4400 Watt
Rp 900 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",250 m2,300 m2,SHM,-,4,2,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 11 Miliar,"Kalimantan Timur, Samarinda, Samarinda Kota",350 m2,558 m2,SHM,-,10,6,N/A,3500 Watt
"Rp 1,85 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",90 m2,200 m2,SHM,Fully-furnished,3,2,N/A,1300 Watt
Rp 900 Juta,"Kalimantan Timur, Samarinda, Samarinda Kota",90 m2,200 m2,SHM,Fully-furnished,4,2,N/A,1300 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",220 m2,135 m2,SHM,-,4,3,N/A,1300 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",140 m2,184 m2,SHM,Non-furnished,5+1,2+1,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 950 Juta,"Kalimantan Timur, Samarinda, Sambutan",128 m2,225 m2,HGB,Non-furnished,3,2,N/A,1300 Watt
Rp 875 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",57 m2,200 m2,SHM,-,3,1,N/A,450 Watt
Rp 600 Juta,"Kalimantan Timur, Samarinda, Samarinda Ilir",115 m2,235 m2,SHM,-,2,1,N/A,1300 Watt
Rp 900 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",65 m2,75 m2,SHM,Non-furnished,2,2,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",150 m2,200 m2,SHM,Non-furnished,3,3,N/A,1300 Watt
Rp 950 Juta,"Kalimantan Timur, Samarinda, Samarinda Kunjang",200 m2,111 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",250 m2,200 m2,SHM,-,6,3,N/A,1300 Watt
Rp 595 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",50 m2,100 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",200 m2,108 m2,SHM,Fully-furnished,3,2,N/A,2200 Watt
Rp 675 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",36 m2,259 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 3,3 Miliar Rp 80 Juta","Kalimantan Timur, Samarinda, Samarinda Kunjang",240 m2,240 m2,HGB,Semi-furnished,6,5,N/A,2200 Watt
