harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
2300000,Balikpapan Timur,142.0,162,HGB,Unfurnished,4,3,2200,1
700000,Balikpapan Timur,48.0,107,SHM,Unfurnished,2,1,1300,1
1500000,Balikpapan Timur,200.0,299,SHM,Unfurnished,5,2,3500,1
609480,Balikpapan Timur,45.0,120,HGB,Unfurnished,2,1,2200,1
5000000,Balikpapan Timur,400.0,235,SHM,Unfurnished,4,4,5500,2
1150000,Balikpapan Timur,190.0,136,SHM,Semi-furnished,3,2,1300,2
1000000,Balikpapan Timur,115.0,225,SHM,Unfurnished,3,2,1300,1
2200000,Lamaru,400.0,700,SHM,Unfurnished,4,2,5500,1
1500000,Manggar,300.0,400,SHM,Unfurnished,3,2,1300,1
380000,Lamaru,40.0,80,SHM,Unfurnished,2,1,1300,1
885000,Balikpapan Timur,138.0,90,SHM,Furnished,3,3,2200,2
560000,Balikpapan Timur,62.0,120,HGB,Unfurnished,2,1,1300,1
1900000,Balikpapan Timur,68.0,256,SHM,Unfurnished,3,2,2200,1
1200000,Balikpapan Timur,90.0,120,SHM,Unfurnished,3,2,2200,1
629990,Balikpapan Timur,60.0,120,SHM,Unfurnished,3,2,1300,1
3800000,Manggar,250.0,580,SHM,Furnished,4,2,53000,1
1500000,Batakan,100.0,130,SHM,Unfurnished,3,2,2200,1
500000,Balikpapan Timur,60.0,75,HGB,Unfurnished,2,1,1300,1
900000,Balikpapan Timur,150.0,404,SHM,Unfurnished,3,2,1300,1
800000,Balikpapan Timur,80.0,150,SHM,Unfurnished,2,2,2200,1
900000,Balikpapan Timur,90.0,114,SHM,Unfurnished,3,1,1300,1
750000,Balikpapan Timur,130.0,130,SHM,Unfurnished,3,2,2200,1
1500000,Balikpapan Timur,70.0,238,SHM,Unfurnished,2,2,2200,1
1950000,Balikpapan Timur,100.0,289,SHM,Unfurnished,2,2,2200,1
1300000,Balikpapan Timur,147.0,147,SHM,Unfurnished,4,2,1300,1
600000,Balikpapan Timur,55.0,120,SHM,Unfurnished,2,1,1300,1
1100000,Balikpapan Timur,54.0,72,SHM,Unfurnished,4,3,2200,1
900000,Balikpapan Timur,180.0,120,SHM,Unfurnished,4,3,2200,2
600000,Balikpapan Timur,90.0,268,SHM,Unfurnished,3,2,900,1
650000,Balikpapan Timur,78.0,90,SHM,Unfurnished,3,1,1300,1
550000,Balikpapan Timur,78.0,221,SHM,Unfurnished,2,2,1300,1
1200000,Balikpapan Timur,121.0,395,SHM,Unfurnished,3,2,1300,1
400000,Balikpapan Timur,150.0,300,SHM,Unfurnished,4,2,900,1
450000,Balikpapan Timur,126.0,150,SHM,Unfurnished,3,1,900,1
1100000,Balikpapan Timur,120.0,135,SHM,Semi-furnished,8,4,3500,1
295000,Balikpapan Timur,36.0,120,SHM,Unfurnished,2,1,1300,1
900000,Balikpapan Timur,72.0,191,SHM,Unfurnished,2,2,2200,1
1200000,Balikpapan Timur,70.0,152,SHM,Unfurnished,3,2,2200,1
470000,Balikpapan Timur,42.0,91,HGB,Unfurnished,2,2,1300,1
1500000,Balikpapan Timur,140.0,98,SHM,Semi-furnished,3,3,2200,2
5500000,Balikpapan Timur,347.0,234,SHM,Furnished,4,3,5500,2
400000,Balikpapan Timur,144.0,72,SHM,Unfurnished,2,1,900,2
1000000,Balikpapan Timur,120.0,135,SHM,Unfurnished,8,4,900,1
2300000,Balikpapan Timur,200.0,405,SHM,Unfurnished,4,2,2200,1
1500000,Balikpapan Timur,100.0,130,SHM,Unfurnished,3,2,2200,1
730000,Balikpapan Timur,43.0,105,HGB,Unfurnished,2,1,1300,1
500000,Balikpapan Timur,38.0,96,SHM,Unfurnished,2,1,1300,1
1500000,Balikpapan Timur,42.0,120,HGB,Unfurnished,4,2,2200,1
400000,Balikpapan Timur,100.0,108,HGB,Unfurnished,2,1,900,1
350000,Balikpapan Timur,90.0,96,HGB,Unfurnished,2,1,900,1
1200000,Balikpapan Timur,150.0,260,SHM,Unfurnished,4,2,4400,1
