,harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai,predicted_price,diff_in_percent
1340,"Rp 1,500,000",Balikpapan Tengah,96.0,200,SHM,Unfurnished,3,1,1300,1,"Rp 1,111,500",25.90%
1186,"Rp 2,200,000",Balikpapan Timur,400.0,700,SHM,Unfurnished,4,2,5500,1,"Rp 2,464,100",-12.00%
1367,"Rp 4,300,000",Balikpapan Tengah,400.0,610,SHM,Unfurnished,3,3,10000,1,"Rp 4,383,100",-1.93%
339,"Rp 1,450,000",Balikpapan Utara,300.0,201,SHM,Unfurnished,5,3,4400,2,"Rp 1,724,700",-18.94%
233,"Rp 1,800,000",Balikpapan Tengah,114.0,90,SHM,Unfurnished,7,3,2200,2,"Rp 1,541,300",14.37%
369,"Rp 1,400,000",Batu Ampar,240.0,240,SHM,Unfurnished,3,2,2200,1,"Rp 2,049,800",-46.41%
756,"Rp 1,200,000",Balikpapan Timur,70.0,152,SHM,Unfurnished,3,2,2200,1,"Rp 1,118,900",6.76%
449,"Rp 690,000",Balikpapan Utara,60.0,144,SHM,Unfurnished,3,2,1300,1,"Rp 1,044,900",-51.44%
125,"Rp 780,000",Balikpapan Selatan,105.0,150,SHM,Semi-furnished,3,3,2200,1,"Rp 1,554,200",-99.25%
1227,"Rp 1,880,000",Balikpapan Utara,139.0,206,SHM,Unfurnished,4,2,3500,1,"Rp 1,430,500",23.91%
685,"Rp 3,800,000",Balikpapan Kota,230.0,400,SHM,Unfurnished,4,3,1300,1,"Rp 3,995,100",-5.14%
1505,"Rp 1,200,000",Balikpapan Selatan,72.0,162,SHM,Unfurnished,3,2,2200,1,"Rp 1,236,300",-3.02%
1421,"Rp 650,000",Balikpapan Selatan,54.0,91,SHM,Unfurnished,2,1,2200,1,"Rp 840,800",-29.35%
742,"Rp 3,500,000",Balikpapan Selatan,320.0,230,SHM,Unfurnished,4,3,2200,2,"Rp 2,720,100",22.28%
745,"Rp 1,600,000",Balikpapan Selatan,135.0,160,SHM,Unfurnished,2,2,2200,1,"Rp 1,304,700",18.45%
800,"Rp 1,150,000",Balikpapan Selatan,55.0,90,SHM,Unfurnished,2,1,2200,1,"Rp 840,800",26.89%
218,"Rp 880,000",Balikpapan Selatan,54.0,106,SHM,Furnished,2,2,2200,1,"Rp 1,098,300",-24.81%
1219,"Rp 550,000",Balikpapan Selatan,72.0,72,SHM,Unfurnished,2,1,1300,1,"Rp 551,800",-0.33%
