Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,110 m2,157 m2,SHM,Fully-furnished
Rp 17 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,850 m2,1250 m2,SHM,Fully-furnished
"Rp 4,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,580 m2,1034 m2,SHM,-
"Rp 3,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,80 m2,380 m2,SHM,Fully-furnished
"Rp 5,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,480 m2,260 m2,SHM,Fully-furnished
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,340 m2,230 m2,SHM,Semi-furnished
Rp 2 Miliar Rp 75 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,148 m2,168 m2,SHM,Fully-furnished
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,72 m2,102 m2,SHM,Semi-furnished
"Rp 11,9 Miliar Rp 320 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,350 m2,570 m2,SHM,Fully-furnished
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,48 m2,112 m2,SHM,Non-furnished
"Rp 2,7 Miliar","Kalimantan Timur, Balikpapan, Damai",Rumah,Secondary,219 m2,150 m2,SHM,Semi-furnished
"Rp 4,5 Miliar Rp 150 Juta","Kalimantan Timur, Balikpapan, Gunung Bahagia",Rumah,Secondary,250 m2,200 m2,SHM,Fully-furnished
"Rp 1,37 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,105 m2,153 m2,HGB,-
