harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
"Rp 1,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",180 m2,141 m2,SHM,Non-furnished,4,3,N/A,2200 Watt
"Rp 2,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",50 m2,776 m2,SHM,Non-furnished,3,1,N/A,900 Watt
Rp 15 Miliar,"Kalimantan Timur, Balikpapan, Prapatan",2054 m2,350 m2,SHM,-,42,45,N/A,33000 Watt
"Rp 1,95 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",139.7 m2,206 m2,SHM,-,5+1,2+1,N/A,2200 Watt
"Rp 1,18 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",47 m2,78 m2,SHM,Semi-furnished,2,2,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",160 m2,169 m2,HGB,-,4,3,N/A,4400 Watt
Rp 8 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",750 m2,851 m2,SHM,-,40,40,N/A,5500 Watt
"Rp 1,35 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",160 m2,120 m2,SHM,-,8,4,N/A,1300 Watt
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",130 m2,92 m2,SHM,-,2,2,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 900 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",68 m2,120 m2,SHM,Semi-furnished,3,1,N/A,2200 Watt
"Rp 1,35 Miliar","Kalimantan Timur, Balikpapan, Damai",96 m2,199 m2,SHM,-,3,1,N/A,1300 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Karang Rejo",238 m2,210 m2,SHM,Semi-furnished,3,3,N/A,2200 Watt
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Sepinggan",45 m2,90 m2,SHM,Semi-furnished,2,1,N/A,1300 Watt
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",120 m2,120 m2,SHM,Non-furnished,3,1,N/A,3500 Watt
Rp 850 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",80 m2,120 m2,SHM,Semi-furnished,1,1,N/A,4400 Watt
"Rp 5,52 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",311 m2,248 m2,SHM,Non-furnished,5,5,N/A,3500 Watt
"Rp 4,5 Miliar Rp 150 Juta","Kalimantan Timur, Balikpapan, Gunung Bahagia",250 m2,200 m2,SHM,Fully-furnished,5+1,5,N/A,4400 Watt
"Rp 1,37 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",105 m2,153 m2,HGB,-,3+1,3+1,N/A,1300 Watt
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",400 m2,505 m2,SHM,Non-furnished,4,4,N/A,4400 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",220 m2,165 m2,SHM,Non-furnished,5,2,N/A,2200 Watt
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",160 m2,169 m2,SHM,Non-furnished,4,3,N/A,4400 Watt
"Rp 4,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",200 m2,674 m2,SHM,Non-furnished,5,5,N/A,4400 Watt
Rp 12 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",250 m2,576 m2,SHM,Fully-furnished,5,4,N/A,13200 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",300 m2,235 m2,SHM,Fully-furnished,5,3,N/A,2200 Watt
"Rp 1,45 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",56 m2,141 m2,SHM,Non-furnished,3,2,N/A,1300 Watt
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",96 m2,100 m2,SHM,Fully-furnished,1,2,N/A,900 Watt
Rp 975 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",70 m2,120 m2,SHM,Semi-furnished,3,1,N/A,2200 Watt
Rp 945 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",119 m2,170 m2,SHM,Fully-furnished,3,2,N/A,2200 Watt
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",95 m2,111 m2,SHM,-,2,1,N/A,1300 Watt
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",144 m2,122 m2,SHM,Non-furnished,3,4,N/A,4400 Watt
Rp 830 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",90 m2,120 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",104 m2,150 m2,SHM,Non-furnished,3,2,N/A,3500 Watt
"Rp 2,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",250 m2,600 m2,SHM,-,2+1,3,N/A,5500 Watt
"Rp 5,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",380 m2,600 m2,SHM,-,3+2,4,N/A,10000 Watt
"Rp 2,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",350 m2,180 m2,SHM,-,4,4,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 450 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",60 m2,60 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",80 m2,180 m2,SHM,Non-furnished,2,2,N/A,3500 Watt
Rp 765 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",116 m2,144 m2,SHM,Semi-furnished,2,2,N/A,1300 Watt
"Rp 3,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",300 m2,315 m2,SHM,Non-furnished,4,4,N/A,5500 Watt
Rp 900 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",60 m2,160 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",130 m2,240 m2,SHM,Non-furnished,3,3,N/A,2200 Watt
"Rp 2,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",500 m2,311 m2,SHM,-,6,5,N/A,2200 Watt
Rp 430 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",36 m2,120 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Baru",367 m2,450 m2,SHM,-,5,4,N/A,13200 Watt
"Rp 1,61 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",115 m2,152 m2,SHM,-,4,3,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",110 m2,150 m2,HGB,-,3,2,N/A,4400 Watt
"Rp 1,28 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",130 m2,120 m2,SHM,-,4,2,N/A,1300 Watt
"Rp 1,5 Miliar Rp 55 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",150 m2,200 m2,SHM,Semi-furnished,5,3,N/A,2200 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",70 m2,300 m2,SHM,Semi-furnished,2,2,N/A,1300 Watt
"Rp 3,9 Miliar Rp 130 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",300 m2,198 m2,SHM,Fully-furnished,4+1,3+1,N/A,5500 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",100 m2,208 m2,SHM,Fully-furnished,3,3,N/A,5500 Watt
"Rp 1,5 Miliar Rp 60 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",105 m2,153 m2,SHM,Non-furnished,4,4,N/A,2200 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",54 m2,180 m2,HGB,Non-furnished,2,2,N/A,1300 Watt
Rp 550 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",112 m2,112 m2,SHM,Non-furnished,3,2,N/A,1300 Watt
"Rp 2,51 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",123 m2,135 m2,HGB,Non-furnished,4+1,3,N/A,3500 Watt
"Rp 4,08 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",160 m2,400 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 1,54 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",200 m2,211 m2,SHM,-,4,2,N/A,2200 Watt
"Rp 3,55 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",290 m2,300 m2,SHM,Non-furnished,6,4,N/A,2200 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",172 m2,510 m2,SHM,Non-furnished,4,3,N/A,4400 Watt
"Rp 6,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",300 m2,417 m2,SHM,-,4,4,N/A,5500 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",300 m2,250 m2,SHM,-,3,3,N/A,4400 Watt
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",142 m2,162 m2,HGB,-,4+1,3+1,N/A,2200 Watt
"Rp 1,1 Miliar Rp 55 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",120 m2,150 m2,SHM,Semi-furnished,3+2,2+1,N/A,1300 Watt
Rp 850 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",64 m2,124 m2,HGB,-,2,1,N/A,1300 Watt
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Timur",48 m2,107 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",143 m2,135 m2,HGB,-,3,2,N/A,2200 Watt
Rp 675 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",80 m2,150 m2,SHM,-,3,1,N/A,1300 Watt
Rp 425 Juta,"Kalimantan Timur, Balikpapan, Sepinggan",50 m2,74 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",47 m2,78 m2,HGB,-,2,2,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,2 Miliar Rp 50 Juta","Kalimantan Timur, Balikpapan, Sepinggan",200 m2,403 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",82 m2,128 m2,SHM,-,2+1,2,N/A,2200 Watt
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",120 m2,120 m2,SHM,-,2+1,2+1,N/A,2200 Watt
"Rp 1,05 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",165 m2,170 m2,SHM,Non-furnished,4,2,N/A,2200 Watt
Rp 780 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",105 m2,120 m2,SHM,Non-furnished,3,1,N/A,3500 Watt
"Rp 5,3 Miliar","Kalimantan Timur, Balikpapan, Gn. Sari Ilir",420 m2,400 m2,SHM,Non-furnished,17,6,N/A,9500 Watt
"Rp 2,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",400 m2,1000 m2,SHM,-,7,3,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",216 m2,216 m2,SHM,-,4+3,2+1,N/A,1300 Watt
Rp 870 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",70 m2,132 m2,SHM,Semi-furnished,3,2,N/A,2200 Watt
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,134 m2,SHM,Non-furnished,3,2,N/A,3500 Watt
Rp 695 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",45 m2,80 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 2,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",160 m2,199 m2,SHM,Fully-furnished,4,4,N/A,3500 Watt
