judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kondisi Perabotan
Grand City Balikpapan,https://www.rumah123.com//perumahan-baru/properti/balikpapan/grand-city-balikpapan/nps2913/,https://pic.rumah123.com/r123/720x420-crop/primary_property/project/2913/1688972997_64abaec52b7beads_images_2913.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rumah SHM Lokasi Strategis di Grand Taman Sari, Cluster Sebatik, Samarinda",https://www.rumah123.com//properti/samarinda/hos17503861/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1896427/2024-07-03-09-32-19-4b0e82e7-581c-47f0-ad19-6269019c6467.jpg,"Rumah SHM Lokasi Strategis di Grand Taman Sari, Cluster Sebatik, Samarinda",Rp 480 Juta,"Loa Janan Ilir, Samarinda",2,1,90 m²,36 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,N/A
Rumah Siap Huni Lokasi Strategis di Pesona Mahakam Cluster Luwai Samarinda,https://www.rumah123.com//properti/samarinda/hos17605944/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1966079/2024-07-16-06-18-16-0bb2d2c5-c818-4f80-a78f-28136f9aec12.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Baru Minimalis Perumahan Borneo Regency Samarinda,https://www.rumah123.com//properti/samarinda/hos17337524/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2024-06-12-05-28-35-8934f9cc-9981-473e-af65-41b5d821be05.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH CANTIK FULL FURNISH DIPERUMAHAN ELIT SAMARINDA ULU,https://www.rumah123.com//properti/samarinda/hos16604725/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-03-07-06-51-55-878f9b1a-a022-4505-9439-df61f1c9040c.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MEWAH PINGGIR JALAN TENGAH KOTA SAMARINDA ,https://www.rumah123.com//properti/samarinda/hos14974080/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1759793/2023-09-17-06-24-36-31fb8235-81b9-49bb-abc2-05655501e9e4.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Mewah Dan Harga Murah Di Samarinda,https://www.rumah123.com//properti/samarinda/hos12445127/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2023-09-18-06-50-28-aebd43d9-003d-4fd1-a9fd-7e9d4df38f48.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MEWAH SANGAT MURAH CLUSTER PERUMAHAN SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17705577/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2024-07-27-06-13-44-56439bb5-af9b-4b3e-a35b-5f2a6896d30e.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH NYAMAN DI PERUMAHAN ELIT SAMARINDA KOTA 8168,https://www.rumah123.com//properti/samarinda/hos14974090/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1759793/2023-09-09-14-32-12-db7a46ee-862e-4cfe-96c2-913346b85ba2.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH SIAP HUNI DIPERUMAHAN TENANG SAMARINDA SUNGAI KUNJANG 9662,https://www.rumah123.com//properti/samarinda/hos17081349/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-05-12-07-31-52-1e9a0db3-cf52-47cb-bf67-386b5202888b.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Mahakam Grande Rumah Subsidi di Samarinda Dkt Bigmall Samarinda,https://www.rumah123.com//properti/samarinda/hos17417988/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1993236/2024-06-23-15-35-54-49d44baa-c2a4-40a4-8bda-fb141b80eef6.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Cantik Minimalis Siap Huni Perumahan Samarinda,https://www.rumah123.com//properti/samarinda/hos17337388/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2024-06-12-05-14-31-c446f6de-0a26-44af-9ca9-f612e506a2dc.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MURAH SIAP HUNI PERUMAHAN ELITE SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17709060/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2024-07-28-02-14-31-5c1ff7a3-82b8-4481-8cf6-f7e2d0f37c94.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rumah adem,SHM,harga nego,di samarinda",https://www.rumah123.com//properti/samarinda/hos15667180/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1924506/2023-12-04-05-00-16-7d516fc7-d2ce-4fe1-bac6-3532b80f2e04.png,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
